name,taxid,general_classification,alternative_names,pathogenic_sites,commensal_sites,status,high_consequence,pathology,host_organism,kingdom,phylum,class,order,family,genus,mol_type,reference,Additional references,assembly_accession,request_type
Thomasclavelia ramosa,1547,commensal,,blood,"gut, stool",putative,FALSE,,human,Bacillati,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Thomasclavelia,dna,"Zakham, Fathiah, et al. ""Molecular diagnosis and enrichment culture identified a septic pseudoarthrosis due to an infection with Erysipelatoclostridium ramosum.""International Journal of Infectious Diseases81 (2019): 167-169.",,GCF_016728785.1,APL-derived
Brevibacterium sp.,1701,potential,,"blood, ear",,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,Brevibacterium,dna,"Wauters, Georges, et al. ""Peritonitis due to Brevibacterium otitidis in a patient undergoing continuous ambulatory peritoneal dialysis.""Journal of clinical microbiology38.11 (2000): 4292-4293.",,GCF_003522405.1,APL-derived
Cupriavidus gilardii,82541,opportunistic,,"blood, resp, ",,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,dna,"Wauters, Georges, et al. ""Case of catheter sepsis with Ralstonia gilardii in a child with acute lymphoblastic leukemia.""Journal of clinical microbiology39.12 (2001): 4583-4584.",,GCF_013347325.1,APL-derived
Blastomyces dermatitidis ER-3,559297,primary,,"blood, resp, oral, skin, sputum",,established,FALSE,blastomycosis,human,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,Blastomyces,dna,"Walsh TJ, Dixon DM. Spectrum of Mycoses. In: Baron S, editor. Medical Microbiology. 4th edition. Galveston (TX): University of Texas Medical Branch at Galveston; 1996. Chapter 75. Available from: https://www.ncbi.nlm.nih.gov/books/NBK7902/",,GCF_000003525.1,APL-derived
Enterobacter cancerogenus,69218,opportunistic,,"abscess, blood",stool,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,dna,"Tuon, Felipe F., et al. ""KPC-producing Enterobacter aerogenes infection.""Brazilian Journal of Infectious Diseases19 (2015): 324-327.",,GCF_019047785.1,APL-derived
Paenibacillus sp.,58172,opportunistic,,"abscess, blood, eye, resp",,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,dna,"Teng, J. L. L., et al. ""Pseudobacteraemia in a patient with neutropenic fever caused by a novel paenibacillus species: Paenibacillus hongkongensis sp. nov.""Molecular Pathology56.1 (2003): 29.",,GCF_003514925.1,APL-derived
Salmonella enterica subsp. enterica serovar Typhi,90370,primary,,"blood, gut",,established,TRUE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_001122625.2,APL-derived
Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,321314,primary,,blood,,established,TRUE,,swine,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_000008105.1,APL-derived
Bacteroides fragilis,817,commensal,,blood,"gut, stool",established,FALSE,,human,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_000710365.2,APL-derived
Mycobacterium avium,1764,opportunistic,,"blood, sputum",,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_001683455.1,APL-derived
Eubacterium multiforme,83339,potential,,blood,"gut, stool",established,FALSE,,human,Bacillati,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_030813415.1,APL-derived
Francisella hispaniensis,622488,potential,,blood,,putative,FALSE,,"human, all",Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_000195555.1,APL-derived
Peptostreptococcus sp.,1262,opportunistic,,"abscess, blood","skin, oral, gut",established,FALSE,,human,Bacillati,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptostreptococcus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_015257205.1,APL-derived
Paraclostridium bifermentans,1490,commensal,,"blood, abscess","gut, oral",established,FALSE,,human,Bacillati,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Paraclostridium,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_019916025.1,APL-derived
Neisseria subflava,28449,commensal,,blood,"oral, resp",established,FALSE,meningitis,human,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_005221305.1,APL-derived
Aquipseudomonas alcaligenes,43263,potential,,blood,,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Aquipseudomonas,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_001597285.1,APL-derived
Parabacteroides distasonis,823,potential,,blood,gut,established,FALSE,,human,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_018279895.1,APL-derived
Cutibacterium granulosum,33011,commensal,,blood,skin,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_030295285.1,APL-derived
Streptococcus sanguinis,1305,commensal,,blood,oral,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_900475505.1,APL-derived
Ehrlichia phagocytophila,948,primary,,blood,,established,TRUE,human granulocytic anaplasmosis,human,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_023278635.1,APL-derived
Actinomyces naeslundii,1655,commensal,,blood,"oral, gut, vaginal",established,FALSE,actinomycosis,human,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_016127855.1,APL-derived
Metamycoplasma salivarium,2124,commensal,,blood,oral,established,FALSE,,human,Bacillati,Mycoplasmatota,,Mycoplasmoidales,Metamycoplasmataceae,Metamycoplasma,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_900660445.2,APL-derived
Chryseobacterium sp.,1871047,opportunistic,,"abscess, blood, skin",,established,FALSE,,human,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_008831505.1,APL-derived
Mycoplasmoides pneumoniae,2104,primary,,"resp, sputum",,established,FALSE,pneumonia,human,Bacillati,Mycoplasmatota,,Mycoplasmoidales,Mycoplasmoidaceae,Mycoplasmoides,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_900660465.1,APL-derived
Prevotella veroralis,28137,commensal,,,"oral, gut",established,FALSE,,human,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_018127765.1,APL-derived
